三日,三日[みっか],みっか,"three days, 3rd of the month",[sound:79beb74d78d7efcec323a76010678ece.mp3],Noun,,手紙が届くのに<b>三日</b>かかりました。,手紙[てがみ]が 届[とど]くのに<b> 三日[みっか]</b>かかりました。,てがみ が とどく の に <b>みっか</b> かかりました,It took three days for the letter to arrive.,手紙[てがみ]が 届[とど]くのに<b>（　）</b>かかりました。,[sound:6ea526181ece528ee8a9c73c9b62c5c1.mp3],"<img src=""a7ab820e9c2f3d8ece67ce6c93d7952c.jpg"" />",Core 2000 Step 02 - 107,307,34,165,
五日,五日[いつか],いつか,"five days, 5th of the month",[sound:ef401cafa3c840f73d353a44b8a88c0b.mp3],Noun,,五月<b>五日</b>は祝日です,五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です,ごがつ <b>いつか</b> は しゅくじつ です,May 5th is a holiday.,五月[ごがつ]<b>（　）</b>は 祝日[しゅくじつ]です,[sound:d1dbda17cc86faef2fd50eb8905ecdbb.mp3],"<img src=""d8959ba93e6264f2fe72d7a991468244.jpg"" />",Core 2000 Step 02 - 111,311,35,328,
八日,八日[ようか],ようか,"eight days, 8th of the month",[sound:d6b5bace52893db0a9142787001c8944.mp3],Noun,,<b>八日</b>からイギリスに行きます。,<b> 八日[ようか]</b>からイギリスに 行[い]きます。,<b>ようか</b> から いぎりす に いきます,I go to England on the eighth.,<b>（　）</b>からイギリスに 行[い]きます。,[sound:5c44500623a1465cf3fcbb281da60047.mp3],"<img src=""f5018f23a99b8b8981d009397c4dfd0c.jpg"" />",Core 2000 Step 02 - 118,318,36,9,
二十日,二十日[はつか],はつか,"20 days, 20th of the month",[sound:4ee5a6cb92b542269e0632b879f04ae2.mp3],Noun,,来月の<b>二十日</b>は弟の誕生日です。,来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。,らいげつ の <b>はつか</b> は おとうと の たんじょうび です,The 20th of next month is my little brother's birthday.,来月[らいげつ]の<b>（　）</b>は 弟[おとうと]の 誕生日[たんじょうび]です。,[sound:d22ea1462fac672f7759d78db3db05dc.mp3],"<img src=""e1f0a343201d92e2f415bdbc37650d8f.jpg"" />",Core 2000 Step 02 - 123,323,37,326,
二日,二日[ふつか],ふつか,"two days, 2nd of the month",[sound:46928c6af40e9fcf04c8399bb1f1e87b.mp3],Noun,,私は<b>二日</b>待った。,私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。,わたし は <b>ふつか</b> まった,I waited two days.,私[わたし]は<b>（　）</b> 待[ま]った。,[sound:855ae1f1310086c2d0a7828f585d0643.mp3],"<img src=""8e2a3a346758cacd173bc937128e397a.jpg"" />",Core 2000 Step 02 - 125,325,38,113,
九日,九日[ここのか],ここのか,"nine days, 9th of the month",[sound:acb889973755bf477a4eb2e65b28e004.mp3],Noun,,<b>九日</b>に荷物が届きます。,<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。,<b>ここのか</b> に にもつ が とどきます,The package will arrive on the ninth.,<b>（　）</b>に 荷物[にもつ]が 届[とど]きます。,[sound:cd784399cd702794676089f423d46382.mp3],"<img src=""1fa7e796ed6544aadb127147a0eaf0c2.jpg"" />",Core 2000 Step 02 - 148,348,39,111,
ところ,ところ,ところ,place,[sound:0cca740e90071cf95a4c8214a070241c.mp3],Noun,,私は友達の<b>ところ</b>に泊まった。,私[わたし]は 友達[ともだち]の<b>ところ</b>に 泊[と]まった。,わたし は ともだち の <b>ところ</b> に とまった,I stayed at my friend's place for the night.,私[わたし]は 友達[ともだち]の<b>（　）</b>に 泊[と]まった。,[sound:adb3a581454e1af454cf9aa796dfa573.mp3],"<img src=""7d74a9f1e7550d9dd8fff7536daf3622.jpg"" />",Core 2000 Step 01 - 015,15,40,185,
一日,一日[ついたち],ついたち,1st of the month,[sound:531a62bfe0833e69b843e9486054c5fd.mp3],Noun,,来月の<b>一日</b>は空いていますか。,来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。,らいげつ の <b>ついたち</b> は あいています か,Are you free on the 1st of next month?,来月[らいげつ]の<b>（　）</b>は 空[あ]いていますか。,[sound:5cca819d1be8931a5c0793d2f6b7d70d.mp3],"<img src=""feb168822384efc35b1c2caa16734dec.jpg"" />",Core 2000 Step 02 - 159,359,41,20,
十日,十日[とおか],とおか,"ten days, 10th of the month",[sound:ddc8ef84405d82abedf15db40bab42ad.mp3],Noun,,<b>十日</b>後に帰ります。,<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。,<b>とおか</b>ご に かえります,I'll come home in ten days.,<b>（　）</b> 後[ご]に 帰[かえ]ります。,[sound:712c00e97292033484020cb8dae30b23.mp3],"<img src=""6f696308c1eb978c008db74edf549876.jpg"" />",Core 2000 Step 02 - 164,364,42,42,
七日,七日[なのか],なのか,"seven days, 7th of the month",[sound:3b748f395b556818bcdf57e17a70cf9f.mp3],Noun,,先月の<b>七日</b>に孫が生まれました。,先月[せんげつ]の<b> 七日[なのか]</b>に 孫[まご]が 生[う]まれました。,せんげつ の <b>なのか</b> に まご が うまれました,My grandchild was born on the seventh of last month.,先月[せんげつ]の<b>（　）</b>に 孫[まご]が 生[う]まれました。,[sound:0da20e5f9ab1e049bf9f271c4712aab5.mp3],"<img src=""6d3dabddca65f10de486cc50c0b9d602.jpg"" />",Core 2000 Step 02 - 169,369,43,363,
四日,四日[よっか],よっか,"four days, 4th of the month",[sound:896b3bd41e3dbbf4fcb1f76f016286d4.mp3],Noun,,新学期は来月の<b>四日</b>からです。,新学期[しんがっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。,しんがっき は らいげつ の <b>よっか</b> から です,The new school term starts on the fourth of next month.,新学期[しんがっき]は 来月[らいげつ]の<b>（　）</b>からです。,[sound:685120b522c29647e194c6b435a4ce3e.mp3],"<img src=""55ecf73c68a1bcdb8943c207c8cedb0f.jpg"" />",Core 2000 Step 02 - 185,385,44,141,
月,月[つき],つき,moon,[sound:15fc058861093fa912d14d3d54348449.mp3],Noun,,今夜は<b>月</b>がとてもきれいです。,今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。,こんや は <b>つき</b> が とても きれい です,The moon looks so beautiful tonight.,今夜[こんや]は<b>（　）</b>がとてもきれいです。,[sound:ce382b52df1295a77a1795cb35acd36a.mp3],"<img src=""8334a77ad86c23abfff06c32f79d624e.jpg"" />",Core 2000 Step 02 - 160,360,45,47,
水,水[みず],みず,water,[sound:6e535665e5d2f40b1bf565254cd1d984.mp3],Noun,,<b>水</b>を一杯ください。,<b> 水[みず]</b>を 一杯[いっぱい]ください。,<b>みず</b> を いっぱい ください,Please give me a glass of water.,<b>（　）</b>を 一杯[いっぱい]ください。,[sound:024a2116f20debed7754a52a9f2c7cf9.mp3],"<img src=""0673b34eac56f60825be718588d3b140.jpg"" />",Core 2000 Step 02 - 074,274,46,267,
金,金[かね],かね,money,[sound:dcd1fb9489ccaf71922c4819bc6a1e4d.mp3],Noun,,これはかなり<b>金</b>がかかった。,これはかなり<b> 金[かね]</b>がかかった。,これ は かなり <b>かね</b> が かかった,This cost quite a bit of money.,これはかなり<b>（　）</b>がかかった。,[sound:1e25d6633f8901d93cfe7c9759e8dfb6.mp3],"<img src=""b11ce990d796fe1c98c5f0374c93df19.jpg"" />",Core 2000 Step 02 - 142,342,47,4,
日曜日,日曜日[にちようび],にちようび,Sunday,[sound:235f922e00b196de50d9480c2ec54eea.mp3],Noun,,<b>日曜日</b>は海に行きました。,<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。,<b>にちようび</b> は うみ に いきました,We went to the seaside on Sunday.,<b>（　）</b>は 海[うみ]に 行[い]きました。,[sound:ef8a4b84e0f70f4caf387d494b2f4b47.mp3],"<img src=""2c086e2972abef0ed1d14c1644184d8c.jpg"" />",Core 2000 Step 02 - 012,212,48,21,
土曜日,土曜日[どようび],どようび,Saturday,[sound:75081f50746d664ed10f82c7d97558a6.mp3],Noun,,<b>土曜日</b>の夜はクラブに行きます。,<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。,<b>どようび</b> の よる は くらぶ に いきます,I'm going to a club Saturday night.,<b>（　）</b>の 夜[よる]はクラブに 行[い]きます。,[sound:09482cbbb46de7489c0d97f185cec900.mp3],"<img src=""c45b25ed53806b30a7d52c2ad2b3a773.jpg"" />",Core 2000 Step 02 - 039,239,49,45,
やる,やる,やる,do,[sound:863458199650f04ce9fa80ddd7811ef9.mp3],Verb,,一緒に宿題を<b>やろう</b>。,一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。,いっしょ に しゅくだい を <b>やろう</b>,Let's do our homework together.,一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。,[sound:dd0443363146e60a7004f9f8a385b8a4.mp3],"<img src=""ff8c1f7e444cb508cb4056d59b0726de.jpg"" />",Core 2000 Step 01 - 027,27,50,295,
金曜日,金曜日[きんようび],きんようび,Friday,[sound:4b4273e1b921c1d07ab030db9b2b1415.mp3],Noun,,<b>金曜日</b>の夜は友達と出かけます。,<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,<b>きんようび</b> の よる は ともだち と でかけます,I go out with my friends on Friday nights.,<b>（　）</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,[sound:105a6ee6542704559a7d1fdb57fae6b3.mp3],"<img src=""5cd21603d4363e133229102db2d8dad4.jpg"" />",Core 2000 Step 02 - 053,253,51,46,
月曜日,月曜日[げつようび],げつようび,Monday,[sound:6eabf534b4d5b3a0ba5c0e025fbb71ec.mp3],Noun,,<b>月曜日</b>に会いましょう。,<b> 月曜日[げつようび]</b>に 会[あ]いましょう。,<b>げつようび</b> に あいましょう,Let's meet on Monday.,<b>（　）</b>に 会[あ]いましょう。,[sound:752d4cfc283911f56a090a04658b3560.mp3],"<img src=""6f73d17fe6fb1e53a3fc353bcf11a0d7.jpg"" />",Core 2000 Step 02 - 069,269,52,61,
木曜日,木曜日[もくようび],もくようび,Thursday,[sound:980c773deefeec93081570084612aa28.mp3],Noun,,<b>木曜日</b>は仕事が休みです。,<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。,<b>もくようび</b> は しごと が やすみ です,Thursday is my day off work.,<b>（　）</b>は 仕事[しごと]が 休[やす]みです。,[sound:c41b1fa0706aa28455978aeac7c40107.mp3],"<img src=""4776c1c42314d6eb86f0612cf523e0c9.jpg"" />",Core 2000 Step 02 - 086,286,53,65,
曜日,曜日[ようび],ようび,day of the week,[sound:5f07476f4d25ff891e8740c940e5e309.mp3],Noun,,<b>曜日</b>を間違えました。,<b> 曜日[ようび]</b>を 間違[まちが]えました。,<b>ようび</b> を まちがえました,I got the day of the week wrong.,<b>（　）</b>を 間違[まちが]えました。,[sound:677c407c3548433b352876cbc09c58bf.mp3],"<img src=""e4945efac1a30e13d9f6851a714214ef.jpg"" />",Core 2000 Step 02 - 087,287,54,179,
